Coin,classification_open,action_open,action_close,classification_close,count_trades,avg_pnl,total_pnl,win_rate
@1,Extreme Fear,open_long,close_long,Extreme Fear,18,22.21327783783784,821.89128,0.6216216216216216
@1,Extreme Fear,open_short,close_short,Extreme Fear,12,-0.0002443508333333,-0.00586442,0.0
@1,Fear,open_long,close_long,Fear,18,35.610277,1210.749418,0.8529411764705882
@1,Fear,open_short,close_short,Fear,12,-0.0002717963157894,-0.00516413,0.0
@1,Neutral,open_long,close_long,Neutral,0,,0.0,
@1,Neutral,open_short,close_short,Neutral,3,-0.00012249,-0.00085743,0.0
@1,Greed,open_long,close_long,Greed,18,17.436527304347827,401.040128,0.6521739130434783
@1,Greed,open_short,close_short,Greed,10,-0.0002340625,-0.00280875,0.0
@1,Extreme Greed,open_long,close_long,Extreme Greed,18,30.04197451515152,991.385159,0.7272727272727273
@1,Extreme Greed,open_short,close_short,Extreme Greed,12,-0.0002580463636363,-0.00567702,0.0
@10,Extreme Fear,open_long,close_long,Extreme Fear,2,-0.0380005,-0.076001,0.0
@10,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@10,Fear,open_long,close_long,Fear,2,-0.0380005,-0.152002,0.0
@10,Fear,open_short,close_short,Fear,0,,0.0,
@10,Neutral,open_long,close_long,Neutral,2,-0.0380005,-0.152002,0.0
@10,Neutral,open_short,close_short,Neutral,0,,0.0,
@10,Greed,open_long,close_long,Greed,2,-0.0380005,-0.076001,0.0
@10,Greed,open_short,close_short,Greed,0,,0.0,
@10,Extreme Greed,open_long,close_long,Extreme Greed,2,-0.0380005,-0.076001,0.0
@10,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@100,Extreme Fear,open_long,close_long,Extreme Fear,2,11.37171966666667,34.115159000000006,1.0
@100,Extreme Fear,open_short,close_short,Extreme Fear,1,-0.0336856,-0.0673712,0.0
@100,Fear,open_long,close_long,Fear,2,15.269785000000002,76.34892500000001,1.0
@100,Fear,open_short,close_short,Fear,1,-0.0336856,-0.0673712,0.0
@100,Neutral,open_long,close_long,Neutral,0,,0.0,
@100,Neutral,open_short,close_short,Neutral,0,,0.0,
@100,Greed,open_long,close_long,Greed,2,13.808010500000002,27.616021000000003,1.0
@100,Greed,open_short,close_short,Greed,1,-0.0336856,-0.0336856,0.0
@100,Extreme Greed,open_long,close_long,Extreme Greed,2,13.808010500000002,55.23204200000001,1.0
@100,Extreme Greed,open_short,close_short,Extreme Greed,1,-0.0336856,-0.0673712,0.0
@103,Extreme Fear,open_long,close_long,Extreme Fear,3,11.35043,34.05129,1.0
@103,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@103,Fear,open_long,close_long,Fear,4,9.240553076923076,120.12719,1.0
@103,Fear,open_short,close_short,Fear,0,,0.0,
@103,Neutral,open_long,close_long,Neutral,0,,0.0,
@103,Neutral,open_short,close_short,Neutral,0,,0.0,
@103,Greed,open_long,close_long,Greed,4,8.60759,43.03795,1.0
@103,Greed,open_short,close_short,Greed,0,,0.0,
@103,Extreme Greed,open_long,close_long,Extreme Greed,4,10.370844285714286,72.59591,1.0
@103,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@107,Extreme Fear,open_long,close_long,Extreme Fear,1671,203.65271017996096,4904568.219264,0.8342399202757131
@107,Extreme Fear,open_short,close_short,Extreme Fear,1503,-0.0232009346238566,-372.86222034,0.0
@107,Fear,open_long,close_long,Fear,1756,137.81157175457906,5108812.776514,0.7755118556283888
@107,Fear,open_short,close_short,Fear,1609,-0.0233130733786191,-628.05419682,0.0
@107,Neutral,open_long,close_long,Neutral,1326,83.74200825982436,944023.659113,0.8127384014902865
@107,Neutral,open_short,close_short,Neutral,1290,-0.0202704997192598,-222.38765242,0.0
@107,Greed,open_long,close_long,Greed,1748,117.34251115458376,3732430.594805,0.7997359154929577
@107,Greed,open_short,close_short,Greed,1601,-0.0195454013082128,-488.10730687,0.0
@107,Extreme Greed,open_long,close_long,Extreme Greed,1729,213.3663974114597,4855792.47229,0.8517883821073908
@107,Extreme Greed,open_short,close_short,Extreme Greed,1565,-0.0249513511482706,-414.81621284,0.0
@109,Extreme Fear,open_long,close_long,Extreme Fear,13,384.646541,5385.051574,1.0
