,avg_pnl,avg_pnl,avg_pnl,avg_pnl,avg_pnl,count_trades,count_trades,count_trades,count_trades,count_trades,win_rate,win_rate,win_rate,win_rate,win_rate
classification,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
Coin,,,,,,,,,,,,,,,
@1,5.5531705867511265,7.510328304696971,8.902387460921053,4.358972497961957,-6.1245e-05,8.25,8.25,8.25,7.75,2.0,0.1554054054054054,0.18181818181818182,0.21323529411764705,0.16304347826086957,0.0
@10,-0.01900025,-0.01900025,-0.01900025,-0.01900025,-0.01900025,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0
@100,3.7793446888888895,4.591441633333334,5.078699800000001,4.591441633333334,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
@103,5.675215,5.185422142857143,4.620276538461538,4.303795,0.0,2.0,2.5,2.5,2.5,0.0,0.5,0.5,0.5,0.5,0.0
@107,50.90408531643844,53.32991247369551,34.44177341701382,29.327717035991302,27.90299656536837,812.5,839.0,861.25,856.0,889.6666666666666,0.20855998006892829,0.2129470955268477,0.1938779639070972,0.19993397887323944,0.2709128004967622
@109,128.10237033333334,128.63240819047618,107.43369187799563,120.64231537777778,137.67548639316237,5.0,6.0,6.0,6.0,5.333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
@11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@112,-15.99376593333333,-7.293937,-1.203902583333333,-3.7231076874999998,0.0,1.6666666666666667,1.75,1.75,1.75,0.0,0.13333333333333333,0.15,0.21428571428571427,0.1875,0.0
@113,7.38379725,3.3602948333333327,2.2444115,1.7980581666666664,0.0,1.5,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
@114,0.0,0.6543405,0.6543405,0.6543405,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0
@116,-1.8446163333333334,-1.6407573333333334,-1.5184419333333332,-1.5728043333333332,0.1248155,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5
@117,-0.026825,1.5344863333333334,1.5344863333333334,1.5344863333333334,0.0,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
@12,-0.0014945,-0.0014945,-0.0014945,-0.0014945,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@123,-0.01337907141975305,-0.01337907141975305,-0.01337907141975305,-0.01337907141975305,0.0,69.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
@124,-6.469994510000001,-6.46999451,-6.46999451,-6.46999451,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
@125,17.09903004719958,11.693470104191919,-0.1605597646352411,4.889404766228956,0.0,8.0,8.666666666666666,8.666666666666666,8.666666666666666,0.0,0.2413793103448276,0.2222222222222222,0.1851851851851852,0.20370370370370372,0.0
@13,-0.0707735,-0.03538675,-0.03538675,-0.03538675,-0.03538675,2.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0
@135,-5981.369216,-5981.369216,-5981.369216,-5981.369216,-5981.369216,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@138,0.0,13.719086333333337,15.7003185,12.72847025,10.9453613,0.0,4.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0
@14,-9.411476222222221,0.0,-9.411476222222221,-9.411476222222221,0.0,5.666666666666667,0.0,5.666666666666667,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
@142,6.822307172026371,2.4484622155592763,5.574401166481074,6.698005384803052,1.402177683511287,227.0,67.75,227.25,227.25,199.0,0.2060580204778157,0.1509433962264151,0.18014059753954306,0.21953781512605042,0.1994186046511628
@147,0.0,-70.1677014,-70.1677014,-70.1677014,-70.1677014,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
@15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@151,9.615258701591857,-3.09007818575,8.972124873401812,9.402276289357426,15.49471934308228,68.5,5.25,68.5,68.5,20.0,0.2399665551839465,0.0,0.2297101449275362,0.24294500723589,0.22151898734177214
@152,-0.0584514545454545,0.0,-0.0584514545454545,-0.0584514545454545,-0.0584514545454545,84.0,0.0,84.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0
@153,0.15156275862068966,0.0,0.0445856050955414,0.13369529787234044,0.11830451485148515,48.5,0.0,48.5,48.5,48.5,0.41954022988505746,0.0,0.232484076433121,0.3882978723404255,0.3613861386138614
@16,-0.0181195,-0.0181195,-0.01811949999999995,-0.0181195,-0.01811949999999995,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0
@17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@2,-43.983837666666666,-65.9757565,-43.983837666666666,-43.983837666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@20,-49.12408432828283,-3.4103232613636365,-40.603350007063845,-39.05572947368421,-36.98328407407407,9.0,7.5,12.666666666666666,12.666666666666666,12.666666666666666,0.0303030303030303,0.0,0.04878048780487804,0.0579710144927536,0.04444444444444443
@21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@23,-0.03374219122641505,-0.033734812575757556,-0.0309437822580645,-0.03386277015463915,-0.0324094607692307,16.0,16.0,21.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0
@24,-0.00096125,-0.0019225,-0.00096125,-0.00096125,0.0,1.5,2.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0
@25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@26,-0.0166415,-0.0166415,-0.0166415,-0.0166415,-0.0166415,4.5,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0
@28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@29,-0.010792,-0.010792,-0.010792,-0.010792,-0.010792,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0
