transition,num_trades,avg_pnl,win_rate
Greed → Extreme Greed,1317,142.04611645308708,0.546407438715131
Extreme Greed → Greed,1443,93.76205554491234,0.5337317397078353
Extreme Fear → Fear,1389,69.50586250076512,0.5332165476350896
Greed → Fear,1004,143.25001954445182,0.4555233760860571
Extreme Greed → Extreme Greed,2054,54.22830256148839,0.45403057780907946
Greed → Neutral,1282,25.809282722238223,0.41180567647570954
Neutral → Neutral,1832,28.17241706079672,0.39523530560437414
Neutral → Fear,1723,30.95927717940586,0.3934798107459978
Fear → Fear,2063,52.638487900182504,0.39152310637134263
Fear → Neutral,1569,45.10323363708662,0.39027839151568716
Extreme Fear → Extreme Fear,1599,38.15983458331485,0.3898148923695452
Neutral → Greed,1584,-17.046109933943338,0.37523037228160705
Greed → Greed,1995,40.650139756995884,0.3706814472252448
Fear → Extreme Fear,1475,27.442273486990498,0.34150724024944507
Extreme Fear → Neutral,133,124.28345066194444,0.2986111111111111
Fear → Greed,1024,163.95826108537517,0.2759031361651449
